1,Nepal Seeks to Break Rebel Siege with Air Patrols (Reuters),"Reuters - Military helicopters provided air\cover to vehicles ferrying crucial supplies to the Nepali\capital on Sunday, as a blockade called by Maoist rebels\stretched into its fifth day, a senior army officer said."
1,Lawyers Call on U.N. to Shield Whistle-Blowers (Reuters),"Reuters - Two lawyers for U.N.\whistle-blowers urged the United Nations on Wednesday to\protect staffers who want to disclose corruption at the world\body, including the oil-for-food program for Iraq."
1,Earthquake in Japan kills 18,Strong aftershocks are still shaking northern Japan after the country #39;s deadliest earthquake in nine years killed at least 18 people.
1,Seoul finds holes in North border,South Korea is on a high security alert after two holes are found in the wire along its border with the North.
1,78 Thai Muslims Suffocate to Death in Police Trucks,"PATTANI, Thailand, 27 October 2004 - At least 78 Muslims were suffocated or crushed to death after being arrested and packed into trucks by security forces following a riot in Muslim-dominated southern Thailand, officials said yesterday."
1,Experts Worry About Missing Iraqi Arms (AP),AP - Revelations that nearly 400 tons of conventional explosives have disappeared in Iraq have experts worrying that other weapons might also be in jeopardy of falling into insurgent or terrorist hands.
1,Turkish company halts operations in Iraq,A Turkish construction company said Tuesday it was halting operations in neighboring Iraq to try to save the lives of 10 employees kidnapped by militants.
1,Annan Sees Hope for Great Lakes Peace," DAR ES SALAAM (Reuters) - U.N Secretary General Kofi Annan  urged leaders of Africa's resource-rich but blood-soaked Great  Lakes region on Friday to implement a peace plan that could  herald a ""new era"" for millions of Africans."
1,Palestinians denounce latest US policy shift,"A fresh diplomatic crisis loomed after US officials indicated they would not object to continued construction in Israeli West Bank settlements, and Palestinians warned such a policy shift would wreck Mideast peace efforts."
1,Susilo prepares five-year program: Spokesman,": Susilo Bambang Yudhoyono is preparing a five-year program for Indonesia #39;s new government after winning three in five votes in the presidential election, M. Lufti, a spokesman for Susilo, said late last night."
1,Deadly Blast Mars Chechen Voting,"OISKHARA, Russia - Against a backdrop of war and squalor, Chechens voted Sunday for a replacement for their assassinated president in a vote the Kremlin hopes will bring some stability to the violence-torn region. A man was killed when he attempted to blow up a polling station..."
1,Police find embassy bomb clue,Police investigating last Thursday #39;s deadly bombing outside the Australian embassy in Jakarta yesterday said they had found the chassis number of the van used to deliver the bomb.
1,Cubans say US remittance policy unfair,"MATANZAS, Cuba -- The photo on the living room wall shows a smiling young man on a palm-fringed balcony near his new home in Miami, just 90 miles from here. His aging parents and grandmother fear they may not live to see him again -- and they blame President Bush."
